,Fold0,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9
0,0.7209302325581395,0.6511627906976745,0.6976744186046512,0.4883720930232558,0.6976744186046512,0.7209302325581395,0.6046511627906976,0.6511627906976745,0.6511627906976745,0.5476190476190477
1,0.7441860465116279,0.6744186046511628,0.5348837209302325,0.7441860465116279,0.6976744186046512,0.7209302325581395,0.4883720930232558,0.6744186046511628,0.5813953488372093,0.8095238095238095
2,0.6976744186046512,0.6976744186046512,0.627906976744186,0.6744186046511628,0.6046511627906976,0.7441860465116279,0.5813953488372093,0.6511627906976745,0.6511627906976745,0.5952380952380952
3,0.5116279069767442,0.6976744186046512,0.6744186046511628,0.5813953488372093,0.5813953488372093,0.627906976744186,0.7441860465116279,0.6511627906976745,0.6511627906976745,0.5714285714285714
4,0.6511627906976745,0.6744186046511628,0.6976744186046512,0.5813953488372093,0.627906976744186,0.5581395348837209,0.627906976744186,0.6511627906976745,0.6976744186046512,0.5952380952380952
5,0.5116279069767442,0.627906976744186,0.6046511627906976,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6046511627906976,0.6976744186046512,0.5238095238095238
6,0.6046511627906976,0.7906976744186046,0.6046511627906976,0.627906976744186,0.7209302325581395,0.6511627906976745,0.7209302325581395,0.6511627906976745,0.5813953488372093,0.5476190476190477
7,0.7441860465116279,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.4418604651162791,0.5813953488372093,0.7441860465116279,0.6744186046511628,0.7674418604651163,0.5714285714285714
8,0.5348837209302325,0.5116279069767442,0.6046511627906976,0.5813953488372093,0.5116279069767442,0.5813953488372093,0.6744186046511628,0.627906976744186,0.6976744186046512,0.8333333333333334
9,0.5813953488372093,0.5813953488372093,0.6744186046511628,0.6744186046511628,0.7906976744186046,0.5813953488372093,0.6046511627906976,0.627906976744186,0.6046511627906976,0.7380952380952381
