,Fold0,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9
0,0.13953488372093023,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.18604651162790697,0.23255813953488372,0.11627906976744186,0.18604651162790697,0.16279069767441862,0.11904761904761904
1,0.13953488372093023,0.20930232558139536,0.16279069767441862,0.13953488372093023,0.13953488372093023,0.11627906976744186,0.16279069767441862,0.23255813953488372,0.11627906976744186,0.14285714285714285
2,0.18604651162790697,0.11627906976744186,0.18604651162790697,0.18604651162790697,0.06976744186046512,0.13953488372093023,0.20930232558139536,0.16279069767441862,0.16279069767441862,0.23809523809523808
3,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.20930232558139536,0.18604651162790697,0.20930232558139536,0.23255813953488372,0.18604651162790697,0.16279069767441862,0.14285714285714285
4,0.16279069767441862,0.18604651162790697,0.23255813953488372,0.23255813953488372,0.16279069767441862,0.13953488372093023,0.11627906976744186,0.23255813953488372,0.06976744186046512,0.09523809523809523
5,0.13953488372093023,0.18604651162790697,0.16279069767441862,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.18604651162790697,0.18604651162790697,0.21428571428571427
6,0.023255813953488372,0.13953488372093023,0.16279069767441862,0.13953488372093023,0.18604651162790697,0.27906976744186046,0.09302325581395349,0.23255813953488372,0.13953488372093023,0.07142857142857142
7,0.11627906976744186,0.16279069767441862,0.18604651162790697,0.23255813953488372,0.20930232558139536,0.11627906976744186,0.13953488372093023,0.13953488372093023,0.11627906976744186,0.19047619047619047
8,0.16279069767441862,0.20930232558139536,0.13953488372093023,0.13953488372093023,0.06976744186046512,0.11627906976744186,0.18604651162790697,0.16279069767441862,0.13953488372093023,0.2619047619047619
9,0.13953488372093023,0.11627906976744186,0.18604651162790697,0.11627906976744186,0.20930232558139536,0.13953488372093023,0.13953488372093023,0.09302325581395349,0.16279069767441862,0.09523809523809523
